favorite_count,retweet_count,tweet_id
19147,4106,857029823797047296
0,10950,856602993587888130
16450,2951,856543823941562368
11991,1933,856526610513747968
0,699,856330835276025856
525,17,856288084350160898
28090,6494,856282028240666624
349,28,855862651834028034
5109,1058,855860136149123072
12010,2170,855857698524602368
46092,18222,855851453814013952
27005,5592,855818117272018944
30387,8457,855459453768019968
0,6170,855245323840757760
0,47,855138241867124737
23233,6311,854732716440526848
29827,7097,854482394044301312
19248,4856,854365224396361728
32575,7743,854120357044912130
16520,3266,854010172552949760
29168,6000,853760880890318849
35577,10533,853639147608842240
15869,3709,853299958564483072
0,2087,852936405516943360
9270,1912,852912242202992640
15272,2246,852672615818899456
16750,3661,852553447878664193
33924,10297,852311364735569921
20502,7088,852226086759018497
11756,1657,852189679701164033
0,10045,851953902622658560
0,23,851861385021730816
16633,3622,851591660324737024
24913,7403,851464819735769094
21253,5976,851224888060895234
31876,9703,850753642995093505
13434,2740,850380195714523136
3536,350,850333567704068097
16813,4016,850145622816686080
21061,5131,850019790995546112
31386,7976,849776966551130114
0,5199,849668094696017920
16370,3298,849412302885593088
11782,1985,849336543269576704
43802,8945,849051919805034497
26019,4539,848690551926992896
25559,4831,848324959059550208
8440,783,848213670039564288
16863,3228,848212111729840128
0,3430,847978865427394560
0,449,847971574464610304
24310,5374,847962785489326080
5657,1416,847842811428974592
7255,447,847617282490613760
19425,3577,847606175596138505
21170,4525,847251039262605312
20642,6176,847157206088847362
22162,3373,847116187444137987
20776,4142,846874817362120707
46254,12248,846514051647705089
14622,3258,846505985330044928
32852,9587,846153765933735936
32028,10438,846139713627017216
16579,3065,846042936437604353
30393,9241,845812042753855489
26056,5059,845677943972139009
7918,1912,845397057150107648
24208,5700,845306882940190720
0,8103,845098359547420673
14136,2732,844979544864018432
15694,3407,844973813909606400
40236,10950,844704788403113984
17125,3328,844580511645339650
14167,2333,844223788422217728
15736,3105,843981021012017153
22274,4912,843856843873095681
17559,2924,843604394117681152
22373,6419,843235543001513987
15833,3822,842846295480000512
7020,1355,842765311967449089
18838,3724,842535590457499648
25478,6170,842163532590374912
14585,3223,842115215311396866
0,16304,841833993020538882
26718,8246,841680585030541313
13155,3912,841439858740625411
20607,5792,841320156043304961
16505,4996,841314665196081154
23848,5652,841077006473256960
0,1869,840761248237133825
0,17220,840728873075638272
186,2,840698636975636481
12825,1043,840696689258311684
9358,1869,840632337062862849
17178,4846,840370681858686976
20120,6113,840268004936019968
14017,2449,839990271299457024
28748,8301,839549326359670784
0,154,839290600511926273
28435,6983,839239871831150596
20502,4242,838952994649550848
11674,2217,838921590096166913
0,36,838916489579200512
0,11797,838831947270979586
11417,1413,838561493054533637
23611,5140,838476387338051585
0,10775,838201503651401729
1757,354,838150277551247360
147,0,838085839343206401
18437,3375,838083903487373313
35784,8393,837820167694528512
4013,471,837482249356513284
13385,2450,837471256429613056
22119,5667,837366284874571778
16773,2558,837110210464448512
13321,2462,836989968035819520
20136,4937,836753516572119041
13211,2377,836677758902222849
0,585,836648853927522308
0,29604,836397794269200385
15432,3174,836380477523124226
22270,4595,836260088725786625
20008,4596,836001077879255040
0,8726,835685285446955009
18653,3882,835574547218894849
0,1825,835536468978302976
0,22540,835309094223372289
17218,3219,835297930240217089
8108,1825,835264098648616962
2191,78,835246439529840640
27408,6151,835172783151792128
23563,3237,835152434251116546
11363,1768,834931633769889797
22229,5890,834786237630337024
14354,2718,834574053763584002
0,11448,834477809192075265
10078,1800,834458053273591808
21626,5133,834209720923721728
16535,3905,834167344700198914
10541,2283,834089966724603904
13711,2381,834086379323871233
14073,2581,833863086058651648
18887,4008,833826103416520705
0,231,833732339549220864
21742,3449,833722901757046785
15596,2219,833479644947025920
21207,5199,833124694597443584
13956,2381,832998151111966721
0,40,832769181346996225
17682,3890,832757312314028032
12476,3157,832682457690300417
3070,559,832645525019123713
16643,2999,832636094638288896
12541,2392,832397543355072512
18039,3430,832369877331693569
11880,2512,832273440279240704
0,6658,832215909146226688
0,10097,832215726631055365
70,2,832088576586297345
0,10455,832040443403784192
18739,4989,832032802820481025
25224,6600,831939777352105988
360,35,831926988323639298
29096,7024,831911600680497154
10990,1951,831670449226514432
7554,2087,831650051525054464
9459,2471,831552930092285952
9691,1645,831322785565769729
6869,1202,831315979191906304
12340,2627,831309418084069378
12542,2209,831262627380748289
8381,1612,830956169170665475
70428,18132,830583320585068544
0,6146,830173239259324417
10344,3239,830097400375152640
0,5415,829878982036299777
12877,2106,829861396166877184
33442,11448,829501995190984704
11026,2193,829449946868879360
36457,10045,829374341691346946
25805,7997,829141528400556032
55835,17519,829011960981237760
0,3668,828801551087042563
26931,6332,828770345708580865
38581,12124,828708714936930305
10010,1457,828650029636317184
6631,1243,828409743546925057
8070,1388,828408677031882754
13307,2409,828381636999917570
7783,1149,828376505180889089
13228,3184,828372645993398273
2316,183,828361771580813312
12400,3093,828046555563323392
10923,2320,828011680017821696
21240,5647,827933404142436356
16252,3247,827653905312006145
7813,1025,827600520311402496
16740,3319,827324948884643840
11152,2426,827199976799354881
22782,5415,826958653328592898
38503,11054,826848821049180160
0,4275,826615380357632002
5399,273,826598799820865537
10644,2543,826598365270007810
19457,4541,826476773533745153
14032,2806,826240494070030336
5159,1009,826204788643753985
16540,3401,826115272272650244
11058,2026,825876512159186944
13465,2694,825829644528148480
55049,18616,825535076884762624
19357,4957,825147591692263424
0,1387,825120256414846976
6713,1387,825026590719483904
0,5956,824796380199809024
15839,3813,824775126675836928
10662,1884,824663926340194305
12465,11259,824325613288833024
15933,4197,824297048279236611
5048,641,824025158776213504
11258,2942,823939628516474880
0,12163,823719002937630720
13318,2621,823699002998870016
13803,2870,823581115634085888
737,27,823333489516937216
16670,4358,823322678127919110
0,10694,823269594223824897
18309,3733,822975315408461824
140194,47613,822872901745569793
14010,2485,822859134160621569
0,6960,822647212903690241
15653,3228,822610361945911296
19233,6960,822489057087389700
30149,15914,822462944365645825
37099,10694,822244816520155136
0,5221,822163064745328640
12033,2543,821886076407029760
0,3630,821813639212650496
8920,1812,821765923262631936
8505,1930,821522889702862852
0,6078,821421320206483457
12479,4720,821407182352777218
268,10,821153421864615936
9243,2191,821149554670182400
10166,2314,821107785811234820
13441,2491,821044531881721856
0,7292,820837357901512704
33467,10775,820749716845686786
12947,3500,820690176645140481
0,614,820494788566847489
0,2813,820446719150292993
3537,614,820314633777061888
21024,6842,820078625395449857
0,1288,820013781606658049
5645,1288,819952236453363712
13649,5265,819924195358416896
14276,3406,819711362133872643
10155,2142,819588359383371776
7661,1314,819347104292290561
2423,440,819238181065359361
24515,7292,819227688460238848
0,40004,819015337530290176
0,20612,819015331746349057
47985,20612,819006400881917954
92045,40004,819004803107983360
0,22730,818646164899774465
23571,8110,818627210458333184
10479,2813,818614493328580609
0,6688,818588835076603904
11586,2700,818536468981415936
0,8856,818307523543449600
11722,2488,818259473185828864
13059,2830,818145370475810820
5145,859,817908911860748288
55089,29604,817827839487737858
11374,2912,817777686764523521
12550,3304,817536400337801217
0,3697,817502432452313088
36350,16304,817423860136083457
5968,1049,817415592588222464
0,9272,817181837579653120
9278,2195,817171292965273600
12948,2859,817120970343411712
9115,1802,817056546584727552
0,5144,816829038950027264
10634,2217,816816676327063552
10428,2407,816697700272001025
32517,8856,816450570814898180
9148,2134,816336735214911488
9492,2356,816091915477250048
0,1135,816062466425819140
0,5800,816014286006976512
5319,1135,815990720817401858
23874,9272,815966073409433600
0,4509,815745968457060357
10470,2481,815736392542261248
8747,1794,815639385530101762
11025,4159,815390420867969024
8137,1410,814986499976527872
12004,2960,814638523311648768
0,6334,814578408554463233
9222,2028,814530161257443328
30645,9480,814153002265309185
0,3487,813944609378369540
9902,2056,813910438903693312
38736,15306,813812741911748608
8887,1918,813800681631023104
19900,7976,813217897535406080
9790,1963,813202720496779264
21133,4781,813187593374461952
9939,2089,813172488309972993
8270,2423,813157409116065792
